travelCode,userCode,name,place,days,price,total,date
19496,190,Hotel K,Salvador (BH),3,263.41,790.23,01/16/2020
58379,570,Hotel AF,Sao Paulo (SP),4,139.1,556.4,01/23/2020
43491,425,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,03/18/2021
6754,65,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,09/24/2020
3320,32,Hotel K,Salvador (BH),4,263.41,1053.64,07/28/2022
18707,184,Hotel AU,Recife (PE),1,312.83,312.83,04/30/2020
51653,502,Hotel AU,Recife (PE),2,312.83,625.66,08/13/2020
119249,1183,Hotel BW,Campo Grande (MS),1,60.39,60.39,07/14/2022
112979,1121,Hotel AF,Sao Paulo (SP),4,139.1,556.4,06/18/2020
59563,578,Hotel A,Florianopolis (SC),4,313.02,1252.08,12/26/2019
119482,1185,Hotel AU,Recife (PE),4,312.83,1251.32,12/02/2021
27556,264,Hotel K,Salvador (BH),3,263.41,790.23,09/16/2021
70603,684,Hotel BP,Brasilia (DF),4,247.62,990.48,07/22/2021
83026,810,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,07/16/2020
77999,757,Hotel BD,Natal (RN),1,242.88,242.88,09/16/2021
120218,1193,Hotel K,Salvador (BH),3,263.41,790.23,07/02/2020
34520,329,Hotel BW,Campo Grande (MS),3,60.39,181.17,09/15/2022
101356,1005,Hotel K,Salvador (BH),4,263.41,1053.64,12/24/2020
88823,878,Hotel AF,Sao Paulo (SP),1,139.1,139.1,10/29/2020
1095,9,Hotel K,Salvador (BH),1,263.41,263.41,08/12/2021
34567,330,Hotel BD,Natal (RN),1,242.88,242.88,04/16/2020
15232,152,Hotel BD,Natal (RN),4,242.88,971.52,05/07/2020
86561,852,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,11/03/2022
120035,1191,Hotel BD,Natal (RN),1,242.88,242.88,03/12/2020
87124,859,Hotel BP,Brasilia (DF),4,247.62,990.48,12/09/2021
105979,1050,Hotel K,Salvador (BH),2,263.41,526.82,03/12/2020
4293,43,Hotel A,Florianopolis (SC),4,313.02,1252.08,04/23/2020
14161,140,Hotel BW,Campo Grande (MS),2,60.39,120.78,01/13/2022
87257,860,Hotel K,Salvador (BH),4,263.41,1053.64,12/31/2020
76569,744,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,12/22/2022
125014,1234,Hotel K,Salvador (BH),2,263.41,526.82,11/28/2019
66655,646,Hotel Z,Aracaju (SE),3,208.04,624.12,12/09/2021
63224,616,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,10/31/2019
116639,1156,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,01/21/2021
9222,93,Hotel BW,Campo Grande (MS),4,60.39,241.56,09/09/2021
109447,1085,Hotel BP,Brasilia (DF),1,247.62,247.62,02/25/2021
27548,264,Hotel BD,Natal (RN),2,242.88,485.76,07/22/2021
9207,93,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,05/27/2021
78749,765,Hotel BP,Brasilia (DF),4,247.62,990.48,05/28/2020
94724,936,Hotel K,Salvador (BH),4,263.41,1053.64,10/17/2019
84859,835,Hotel BP,Brasilia (DF),2,247.62,495.24,10/17/2019
104050,1032,Hotel BD,Natal (RN),3,242.88,728.64,03/12/2020
10360,105,Hotel AU,Recife (PE),3,312.83,938.49,06/18/2020
108629,1078,Hotel K,Salvador (BH),1,263.41,263.41,06/04/2020
131816,1298,Hotel AF,Sao Paulo (SP),2,139.1,278.2,11/21/2019
125084,1235,Hotel AU,Recife (PE),3,312.83,938.49,12/05/2019
91064,898,Hotel K,Salvador (BH),2,263.41,526.82,01/27/2022
63413,617,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,05/07/2020
118456,1174,Hotel BD,Natal (RN),3,242.88,728.64,03/12/2020
6647,64,Hotel K,Salvador (BH),4,263.41,1053.64,03/10/2022
106674,1059,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,06/25/2020
79259,772,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,10/10/2019
15155,151,Hotel AF,Sao Paulo (SP),4,139.1,556.4,09/17/2020
57277,557,Hotel AF,Sao Paulo (SP),2,139.1,278.2,06/16/2022
114143,1135,Hotel AF,Sao Paulo (SP),2,139.1,278.2,06/16/2022
49513,485,Hotel A,Florianopolis (SC),4,313.02,1252.08,10/24/2019
82807,808,Hotel AF,Sao Paulo (SP),3,139.1,417.3,10/06/2022
48520,477,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,10/03/2019
56863,553,Hotel BP,Brasilia (DF),3,247.62,742.86,07/08/2021
53114,514,Hotel AU,Recife (PE),1,312.83,312.83,10/29/2020
132682,1306,Hotel AF,Sao Paulo (SP),1,139.1,139.1,08/11/2022
10005,100,Hotel A,Florianopolis (SC),1,313.02,313.02,12/30/2021
10222,104,Hotel AF,Sao Paulo (SP),3,139.1,417.3,07/09/2020
119002,1179,Hotel Z,Aracaju (SE),3,208.04,624.12,10/01/2020
109968,1089,Hotel AF,Sao Paulo (SP),3,139.1,417.3,07/06/2023
130579,1284,Hotel AU,Recife (PE),2,312.83,625.66,05/07/2020
45240,441,Hotel AU,Recife (PE),2,312.83,625.66,07/08/2021
41404,402,Hotel A,Florianopolis (SC),1,313.02,313.02,12/19/2019
11995,117,Hotel BP,Brasilia (DF),3,247.62,742.86,08/13/2020
61594,601,Hotel Z,Aracaju (SE),4,208.04,832.16,03/10/2022
